NET_neuronI_neuronJ,Strength
valid_1_1,0.0
valid_1_2,0.751246182163
valid_1_3,0.433424184022
valid_1_4,0.0750611481072
valid_1_5,0.202809379896
valid_1_6,0.269725895692
valid_1_7,0.333541270118
valid_1_8,0.30687047288
valid_1_9,0.525745762615
valid_1_10,0.354464353168
valid_1_11,0.0990308869268
valid_1_12,0.824558849693
valid_1_13,0.52746806767
valid_1_14,0.632696459863
valid_1_15,0.242580383819
valid_1_16,0.138995519726
valid_1_17,0.45703783657
valid_1_18,0.172690138237
valid_1_19,0.69195969586
valid_1_20,0.795395846045
valid_1_21,0.0952348917646
valid_1_22,0.413662428607
valid_1_23,0.827765185281
valid_1_24,0.0844833325383
valid_1_25,0.527727714823
valid_1_26,0.142802981044
valid_1_27,0.892175754965
valid_1_28,0.3152784693
valid_1_29,0.774127078033
valid_1_30,0.34079512296
valid_1_31,0.550265099769
valid_1_32,0.642376979993
valid_1_33,0.755767462236
valid_1_34,0.748603435004
valid_1_35,0.37163026872
valid_1_36,0.854384456745
valid_1_37,0.721890115321
valid_1_38,0.705663808016
valid_1_39,0.874105846446
valid_1_40,0.385737737322
valid_1_41,0.779959175164
valid_1_42,0.0569811313955
valid_1_43,0.458463646158
valid_1_44,0.67072028709
valid_1_45,0.707992628468
valid_1_46,0.800777958489
valid_1_47,0.505199540874
valid_1_48,0.066014653602
valid_1_49,0.593633464282
valid_1_50,0.696806739788
valid_1_51,0.412291140854
valid_1_52,0.767301845902
valid_1_53,0.248233245068
valid_1_54,0.199923219481
valid_1_55,0.896776658895
valid_1_56,0.364927442478
valid_1_57,0.550674943718
valid_1_58,0.124365052301
valid_1_59,0.727423428296
valid_1_60,0.734090693339
valid_1_61,0.893744514557
valid_1_62,0.550224262473
valid_1_63,0.420879593213
valid_1_64,0.217007215996
valid_1_65,0.658427897625
valid_1_66,0.252360864253
valid_1_67,0.196721413679
valid_1_68,0.729441289982
valid_1_69,0.709520243587
valid_1_70,0.285425181665
valid_1_71,0.713799164974
valid_1_72,0.300590422326
valid_1_73,0.321287334078
valid_1_74,0.152861430035
valid_1_75,0.80744152875
valid_1_76,0.471797860413
valid_1_77,0.433089031786
valid_1_78,0.140454562886
valid_1_79,0.553277805398
valid_1_80,0.508241800436
valid_1_81,0.0830154450469
valid_1_82,0.868557849523
valid_1_83,0.554204066567
valid_1_84,0.574671598962
valid_1_85,0.539426299982
valid_1_86,0.241666513583
valid_1_87,0.546576517208
valid_1_88,0.618884913474
valid_1_89,0.681878573063
valid_1_90,0.128346567504
valid_1_91,0.545200708322
valid_1_92,0.212147945541
valid_1_93,0.836481384523
valid_1_94,0.0968827284604
valid_1_95,0.584974261601
valid_1_96,0.355784400693
valid_1_97,0.454581777591
valid_1_98,0.243011983287
valid_1_99,0.768825896032
valid_1_100,0.413997148199
valid_2_1,0.543121385187
valid_2_2,0.0
valid_2_3,0.916802050443
valid_2_4,0.176813058905
valid_2_5,0.0867793888375
valid_2_6,0.244729038204
valid_2_7,0.236596071605
valid_2_8,0.78113824338
valid_2_9,0.218304740059
valid_2_10,0.580252156695
valid_2_11,0.11745244549
valid_2_12,0.848988776575
valid_2_13,0.549717458609
valid_2_14,0.529067363298
valid_2_15,0.541834540949
valid_2_16,0.144741334604
valid_2_17,0.288213883544
valid_2_18,0.182073738909
valid_2_19,0.341055814948
valid_2_20,0.977578823314
valid_2_21,0.125906440111
valid_2_22,0.241857955442
valid_2_23,0.802696502349
valid_2_24,0.0637470225744
valid_2_25,0.267168706107
valid_2_26,0.423902703938
valid_2_27,0.612258805884
valid_2_28,0.168830662258
valid_2_29,0.604158216222
valid_2_30,0.157762822199
valid_2_31,0.177866953388
valid_2_32,0.40841005321
valid_2_33,0.750370060142
valid_2_34,0.403844405464
valid_2_35,0.780106031947
valid_2_36,0.511695928723
valid_2_37,0.509580345668
valid_2_38,0.971326386283
valid_2_39,0.2207987268
valid_2_40,0.940944891871
valid_2_41,0.264159169597
valid_2_42,0.0487874726427
valid_2_43,0.343608753803
valid_2_44,0.650385589477
valid_2_45,0.221454818908
valid_2_46,0.759661018689
valid_2_47,0.338443347483
valid_2_48,0.0670194964969
valid_2_49,0.902109899839
valid_2_50,0.442976684703
valid_2_51,0.237302330983
valid_2_52,0.916382965212
valid_2_53,0.799419784185
valid_2_54,0.284442836815
valid_2_55,0.406712800423
valid_2_56,0.479364372314
valid_2_57,0.696823336024
valid_2_58,0.343709644291
valid_2_59,0.331607408487
valid_2_60,0.490787298155
valid_2_61,0.475132310632
valid_2_62,0.432798046043
valid_2_63,0.326007124336
valid_2_64,0.135728675047
valid_2_65,0.599872162694
valid_2_66,0.117228467698
valid_2_67,0.461532937336
valid_2_68,0.200340544931
valid_2_69,0.279295079137
valid_2_70,0.137315421826
valid_2_71,0.767712762809
valid_2_72,0.422070522371
valid_2_73,0.26705121073
valid_2_74,0.106049170354
valid_2_75,0.502522363882
valid_2_76,0.499915710074
valid_2_77,0.409660339004
valid_2_78,0.167484046047
valid_2_79,0.758152716811
valid_2_80,0.28589334174
valid_2_81,0.322045638402
valid_2_82,0.683006450804
valid_2_83,0.312777194665
valid_2_84,0.270127741129
valid_2_85,0.176583649262
valid_2_86,0.76031399143
valid_2_87,0.444803224588
valid_2_88,0.589875554798
valid_2_89,0.174149702734
valid_2_90,0.221013019851
valid_2_91,0.927595124054
valid_2_92,0.094918375952
valid_2_93,0.516501058071
valid_2_94,0.154551397092
valid_2_95,0.113586692383
valid_2_96,0.30850711869
valid_2_97,0.860263166973
valid_2_98,0.10359826471
valid_2_99,0.517287869328
valid_2_100,0.224027476608
valid_3_1,0.185449296826
valid_3_2,0.92282532444
valid_3_3,0.0
valid_3_4,0.796905913112
valid_3_5,0.0192269213381
valid_3_6,0.117440971223
valid_3_7,0.276700099154
valid_3_8,0.989871493999
valid_3_9,0.0958787422013
valid_3_10,0.257658574283
valid_3_11,0.228976121643
